adm1_pcode,departamento,value
PE01,Amazonas,18.2
PE02,Ancash,14.5
PE03,Apurimac,13.5
PE04,Arequipa,6.8
PE05,Ayacucho,16.6
PE06,Cajamarca,18.4
PE07,Callao,10.2
PE08,Cusco,12.9
PE09,Huancavelica,16.9
PE10,Huanuco,20.3
PE11,Ica,15.1
PE12,Junin,17.3
PE13,La Libertad,17.3
PE14,Lambayeque,15.9
PE15,Lima,9.1
PE16,Loreto,35.2
PE17,Madre de Dios,31.2
PE18,Moquegua,6.8
PE19,Pasco,18.6
PE20,Piura,17.4
PE21,Puno,9.2
PE22,San Martín,25.4
PE23,Tacna,6
PE24,Tumbes,21.6
PE25,Ucayali,41.2